Country;Value;Currency;Date
PL;110.33;PLN;01.12.2025
PL;2366.86;PLN;01.12.2025
PL;392.45;PLN;01.12.2025
PL;587.96;PLN;01.12.2025
PL;242.4;PLN;01.12.2025
PL;974.86;PLN;01.12.2025
PL;376.72;PLN;01.12.2025
PL;850.24;PLN;01.12.2025
PL;279.72;PLN;01.12.2025
PL;140.47;PLN;01.12.2025
PL;1079.52;PLN;01.12.2025
PL;1285.02;PLN;01.12.2025
PL;1377.05;PLN;01.12.2025
PL;677.88;PLN;01.12.2025
PL;536.25;PLN;01.12.2025
PL;691.02;PLN;01.12.2025
PL;2115.47;PLN;01.12.2025
PL;4728.24;PLN;01.12.2025
PL;221.34;PLN;01.12.2025
PL;1212.01;PLN;01.12.2025
PL;294.11;PLN;01.12.2025
PL;564.25;PLN;01.12.2025
PL;14.15;PLN;01.12.2025
PL;944.68;PLN;01.12.2025
PL;1410.39;PLN;01.12.2025
PL;182.38;PLN;01.12.2025
PL;9.43;PLN;01.12.2025
PL;1152.74;PLN;01.12.2025
PL;1146.11;PLN;01.12.2025
PL;132.16;PLN;01.12.2025
PL;45.73;PLN;01.12.2025
PL;83.2;PLN;01.12.2025
PL;100.94;PLN;01.12.2025
PL;1479.71;PLN;01.12.2025
PL;486.02;PLN;01.12.2025
PL;1010.94;PLN;01.12.2025
PL;154.29;PLN;01.12.2025
PL;98.61;PLN;01.12.2025
PL;883.84;PLN;01.12.2025
PL;277.7;PLN;01.12.2025
PL;801.21;PLN;01.12.2025
PL;960.52;PLN;01.12.2025
PL;291.29;PLN;01.12.2025
PL;671.11;PLN;01.12.2025
PL;641.37;PLN;01.12.2025
PL;76.51;PLN;01.12.2025
PL;556.17;PLN;01.12.2025
PL;1189.03;PLN;01.12.2025
PL;157.82;PLN;01.12.2025
PL;95.95;PLN;01.12.2025
CZ;896.72;PLN;01.12.2025
PL;377.8;PLN;01.12.2025
DE;659.9;PLN;01.12.2025
DE;787.32;PLN;01.12.2025
PL;76.6;PLN;01.12.2025
PL;362.6;PLN;01.12.2025
PL;27.92;PLN;01.12.2025
PL;414.88;PLN;01.12.2025
IN;20.2;PLN;01.12.2025
PL;501.29;PLN;01.12.2025
PL;49.62;PLN;01.12.2025
PL;68.31;PLN;01.12.2025
PL;195.66;PLN;01.12.2025
PL;28.58;PLN;01.12.2025
PL;565.1;PLN;01.12.2025
PL;563.5;PLN;01.12.2025
FR;635.34;PLN;01.12.2025
PL;110.93;PLN;02.12.2025
PL;276.68;PLN;02.12.2025
PL;2707.23;PLN;02.12.2025
PL;303.78;PLN;02.12.2025
PL;360.33;PLN;02.12.2025
PL;70.21;PLN;02.12.2025
PL;289.65;PLN;02.12.2025
PL;18.89;PLN;02.12.2025
PL;813.86;PLN;02.12.2025
PL;429.01;PLN;02.12.2025
PA;174.62;PLN;02.12.2025
PL;107.54;PLN;02.12.2025
PL;47.31;PLN;02.12.2025
PL;449.8;PLN;02.12.2025
PL;345.41;PLN;02.12.2025
PL;429.89;PLN;02.12.2025
BR;392.04;PLN;02.12.2025
PL;1358.07;PLN;02.12.2025
PL;488.02;PLN;02.12.2025
PL;305.98;PLN;02.12.2025
PL;1317.85;PLN;02.12.2025
PL;3502.87;PLN;02.12.2025
PL;205.73;PLN;02.12.2025
PL;1156.57;PLN;02.12.2025
PL;550.48;PLN;02.12.2025
PL;455.51;PLN;02.12.2025
PL;1292.45;PLN;02.12.2025
PL;742.41;PLN;02.12.2025
PL;1188.37;PLN;02.12.2025
PL;2122.72;PLN;02.12.2025
PL;1152.2;PLN;02.12.2025
PL;701.54;PLN;02.12.2025
PL;1607.12;PLN;02.12.2025
PL;755.11;PLN;02.12.2025
PL;83.49;PLN;02.12.2025
PL;1080.91;PLN;02.12.2025
PL;474.44;PLN;02.12.2025
PL;605.74;PLN;02.12.2025
PL;1643.14;PLN;02.12.2025
PL;121.64;PLN;02.12.2025
TR;277.87;PLN;02.12.2025
PL;908.29;PLN;02.12.2025
NO;426.63;PLN;02.12.2025
PL;546.97;PLN;02.12.2025
PL;463.64;PLN;02.12.2025
PL;1807.91;PLN;02.12.2025
IE;591.21;PLN;02.12.2025
PL;362.99;PLN;02.12.2025
PL;221.43;PLN;02.12.2025
PL;166.96;PLN;02.12.2025
PL;313.23;PLN;03.12.2025
PL;653.42;PLN;03.12.2025
PL;494.57;PLN;03.12.2025
PL;540.05;PLN;03.12.2025
IE;1176.78;PLN;03.12.2025
PL;562.02;PLN;03.12.2025
PL;232.3;PLN;03.12.2025
PL;802.75;PLN;03.12.2025
PL;425.07;PLN;03.12.2025
PL;338.42;PLN;03.12.2025
PL;155.97;PLN;03.12.2025
PL;104.21;PLN;03.12.2025
PL;60.9;PLN;03.12.2025
PL;498.81;PLN;03.12.2025
PL;424.26;PLN;03.12.2025
PL;760.16;PLN;03.12.2025
PL;57.48;PLN;03.12.2025
PL;1606.76;PLN;03.12.2025
PL;112.67;PLN;03.12.2025
PL;983.01;PLN;03.12.2025
PL;170.6;PLN;03.12.2025
PL;846.32;PLN;03.12.2025
PL;369.28;PLN;03.12.2025
PL;1318.16;PLN;03.12.2025
PL;854.16;PLN;03.12.2025
PL;6.71;PLN;03.12.2025
PL;974.62;PLN;03.12.2025
PL;901.02;PLN;03.12.2025
PL;1373.84;PLN;03.12.2025
PL;533.45;PLN;03.12.2025
PL;79.02;PLN;03.12.2025
PL;913.65;PLN;03.12.2025
PL;878.14;PLN;03.12.2025
PL;281.13;PLN;03.12.2025
PL;773.54;PLN;03.12.2025
PL;906.17;PLN;03.12.2025
PL;1159.11;PLN;03.12.2025
PL;161.42;PLN;03.12.2025
PL;934.47;PLN;03.12.2025
PL;1650.18;PLN;03.12.2025
PL;885.67;PLN;03.12.2025
PL;1336.01;PLN;03.12.2025
PL;52.61;PLN;03.12.2025
PL;608;PLN;03.12.2025
PL;202.28;PLN;03.12.2025
PL;2982.58;PLN;03.12.2025
