Country;Value;Currency;Date
PL;139,93;PLN;01-08-2025
PL;439,09;PLN;01-08-2025
PL;297,11;PLN;01-08-2025
;79,02;PLN;01-08-2025
PL;211,05;PLN;01-08-2025
PL;180,78;PLN;01-08-2025
PL;1375,88;PLN;01-08-2025
PL;17,33;PLN;01-08-2025
PL;461,00;PLN;01-08-2025
PL;484,49;PLN;01-08-2025
PL;576,26;PLN;01-08-2025
PL;1149,52;PLN;01-08-2025
PL;714,71;PLN;01-08-2025
PL;233,92;PLN;01-08-2025
PL;879,75;PLN;01-08-2025
PL;373,25;PLN;01-08-2025
PL;341,07;PLN;01-08-2025
HU;129,10;PLN;01-08-2025
PL;1314,04;PLN;01-08-2025
PL;938,38;PLN;01-08-2025
PL;1170,11;PLN;01-08-2025
CN;1786,41;PLN;01-08-2025
PL;350,64;PLN;01-08-2025
BE;548,82;PLN;01-08-2025
PL;166,88;PLN;01-08-2025
PL;179,46;PLN;01-08-2025
;118,92;PLN;01-08-2025
PL;855,92;PLN;01-08-2025
PL;994,09;PLN;01-08-2025
PL;1246,68;PLN;01-08-2025
PL;908,70;PLN;01-08-2025
PL;814,15;PLN;01-08-2025
PL;954,58;PLN;01-08-2025
;317,28;PLN;01-08-2025
PL;64,32;PLN;01-08-2025
PL;226,49;PLN;01-08-2025
PL;664,06;PLN;01-08-2025
PL;449,54;PLN;01-08-2025
PL;440,29;PLN;01-08-2025
PL;1363,06;PLN;01-08-2025
PL;2121,75;PLN;01-08-2025
PL;1270,26;PLN;01-08-2025
PL;231,83;PLN;01-08-2025
PL;478,12;PLN;01-08-2025
PL;244,92;PLN;01-08-2025
PL;274,23;PLN;01-08-2025
PL;665,54;PLN;01-08-2025
PL;3758,57;PLN;01-08-2025
PL;1041,25;PLN;01-08-2025
PL;725,78;PLN;01-08-2025
PL;693,59;PLN;01-08-2025
PL;670,07;PLN;01-08-2025
PL;623,75;PLN;01-08-2025
PL;422,43;PLN;01-08-2025
PL;289,01;PLN;01-08-2025
IE;513,04;PLN;01-08-2025
PL;17,81;PLN;01-08-2025
PL;122,45;PLN;01-08-2025
PL;232,11;PLN;01-08-2025
PL;591,40;PLN;01-08-2025
PL;533,33;PLN;01-08-2025
PL;373,42;PLN;01-08-2025
PL;288,25;PLN;01-08-2025
PL;933,26;PLN;01-08-2025
PL;355,96;PLN;01-08-2025
PL;301,20;PLN;01-08-2025
PL;1606,60;PLN;01-08-2025
PL;112,81;PLN;01-08-2025
PL;868,41;PLN;01-08-2025
PL;541,62;PLN;01-08-2025
